portfolio,id_ordre_travail,id_demande,etat,urgence,impact_disponibilite,vandalisme,palliative,avec_demande_pdr,est_reouvert,site,zone,famille,groupe,ot_fils,prestataire,cout_maindoeuvre,cout_pdr,cout_bc,cout_total,nombre_main_doeuvre,duree_intervention_par_heure,id_actif,time_to_closure_hours,time_to_start_hours,num_spare_parts_requests,total_parts_quantity,total_parts_cost,parts_families,parts_request_status,creation_hour,creation_day_of_week,creation_day_of_month,creation_month,creation_quarter,creation_is_weekend,creation_is_business_hours,days_since_last_maintenance,equipment_failure_count,equipment_avg_cost,equipment_avg_duration,famille_failure_count,famille_avg_cost,equipment_age_days,site_failure_count,site_avg_cost,zone_failure_count,has_spare_parts,spare_parts_cost_ratio,famille_spare_parts_usage_rate,anomaly_travaux_de_maintenance,anomaly_dégradation,anomaly_endomagement,anomaly_arrachement,anomaly_endommage,anomaly_dégradtion_du_sol,anomaly_desencastrement,anomaly_serrure_endommagé_,anomaly_chasse_endommagé_,anomaly_flux_lumineux_faible_,anomaly_poigné_endommagé_,anomaly_endommagement_,anomaly_dégradation_,anomaly_brèche_à_la_clôture_,anomaly_déformation,anomaly_habillage_dégradé_,anomaly_dégradation_des_matériaux_,anomaly_sol_defectué,anomaly_bouchage_,anomaly_dérangement_au_niveau_de_la_centrale_,anomaly_recurrence_count,urgence_Faible,urgence_Fort,urgence_Moyen,famille_high_urgency_rate,provider_avg_time_to_closure,provider_avg_cost,provider_work_volume,rolling_7d_failures,rolling_30d_failures,rolling_7d_avg_cost,rolling_30d_avg_cost,portfolio_encoded,site_encoded,zone_encoded,famille_encoded,groupe_encoded,prestataire_encoded,etat_encoded,days_to_next_failure,will_fail_within_30_days,anomaly_type_encoded,spare_parts_cost_target,intervention_duration_target,will_need_spare_parts
batiment,15172,15286,OT Realisé,Moyen,non,False,False,False,False,PPR,PPR01,Equipement lot archi / Menuiserie ,Fenêtre ,Non,TMU,2401.13,0.0,0.0,2401.13,1,64.03,132646,5658.8,0.15,0,0.0,0.0,,,14,2,12,3,1,0,1,9.809027777777779,1,2401.13,64.03,385,4123.536727272727,0.0,488,17924.41973360656,386,0,0.0,0.2909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0025974025974025974,347.9875606969437,5852.34503869969,1292,1.0,1.0,2401.13,2401.13,0,1,2,12,43,9,4,,0,224,0.0,64.03,0
batiment,13504,13530,OT Cloturé,Moyen,non,True,False,False,False,PPR,PPR01,Equipement plomberie et sanitaire,Lavabo,Non,TMU,13.0,0.0,0.0,13.0,1,0.25,132667,1.2666666666666666,0.36666666666666664,0,0.0,0.0,,,9,3,2,1,1,0,1,9.809027777777779,4,3690.69,67.0325,310,6085.928677419354,0.0,488,17924.41973360656,386,0,0.0,0.5580645161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,False,False,True,0.012903225806451613,347.9875606969437,5852.34503869969,1292,1.0,1.0,13.0,13.0,0,1,2,14,56,9,0,46.419444444444444,0,167,0.0,0.25,0
batiment,14535,14641,OT Cloturé,Moyen,non,False,False,True,True,PPR,PPR01,Equipement plomberie et sanitaire,Lavabo,Non,TMU,6426.68,820.0,0.0,7246.68,1,123.59,132667,187.73333333333332,61.9,1,1.0,820.0,PLOMBERIE,cloture,19,0,17,2,1,0,0,46.419444444444444,4,3690.69,67.0325,310,6085.928677419354,46.419444444444444,488,17924.41973360656,386,1,0.11315526558368798,0.5580645161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,False,False,True,0.012903225806451613,347.9875606969437,5852.34503869969,1292,2.0,2.0,3629.84,3629.84,0,1,2,14,56,9,0,0.009722222222222222,1,167,820.0,123.59,1
batiment,14536,14630,OT Cloturé,Moyen,non,False,False,False,False,PPR,PPR01,Equipement plomberie et sanitaire,Lavabo,Non,TMU,210.08,0.0,0.0,210.08,1,4.04,132667,95.66666666666667,87.05,0,0.0,0.0,,,19,0,17,2,1,0,0,0.009722222222222222,4,3690.69,67.0325,310,6085.928677419354,46.42916666666667,488,17924.41973360656,386,0,0.0,0.5580645161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,False,False,True,0.012903225806451613,347.9875606969437,5852.34503869969,1292,3.0,3.0,2489.92,2489.92,0,1,2,14,56,9,0,7.721527777777778,1,257,0.0,4.04,0
batiment,14763,14855,OT Cloturé,Moyen,non,False,False,True,False,PPR,PPR01,Equipement plomberie et sanitaire,Lavabo,Non,TMU,7293.0,0.0,0.0,7293.0,1,140.25,132667,141.9,0.016666666666666666,1,1.0,160.0,PLOMBERIE,rejet,13,1,25,2,1,0,1,7.721527777777778,4,3690.69,67.0325,310,6085.928677419354,54.15069444444445,488,17924.41973360656,386,1,0.021938845468257234,0.5580645161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,False,False,True,0.012903225806451613,347.9875606969437,5852.34503869969,1292,4.0,4.0,3690.69,3690.69,0,1,2,14,56,9,0,,0,213,160.0,140.25,1
batiment,14884,14968,OT Cloturé,Moyen,non,False,False,True,False,PPR,PPR01,Equipement lot archi / Menuiserie ,Porte  bois,Non,TMU,3771.56,72.0,0.0,3843.56,1,72.53,132683,73.28333333333333,0.6,1,1.0,72.0,MENUISERIE,cloture,14,4,28,2,1,0,1,9.809027777777779,1,3843.56,72.53,385,4123.536727272727,0.0,488,17924.41973360656,386,1,0.018732633287889353,0.2909090909090909,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0025974025974025974,347.9875606969437,5852.34503869969,1292,1.0,1.0,3843.56,3843.56,0,1,2,12,74,9,0,,0,223,72.0,72.53,1
batiment,14348,14397,OT Cloturé,Moyen,non,False,False,False,False,PPR,PPR01,Equipement lot archi / Menuiserie ,Porte  bois,Non,TMU,47.84,0.0,0.0,47.84,1,0.92,132687,98.06666666666666,24.316666666666666,0,0.0,0.0,,,9,6,9,2,1,1,1,9.809027777777779,2,1104.48,14.99,385,4123.536727272727,0.0,488,17924.41973360656,386,0,0.0,0.2909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0025974025974025974,347.9875606969437,5852.34503869969,1292,1.0,1.0,47.84,47.84,0,1,2,12,74,9,0,19.209027777777777,1,153,0.0,0.92,0
batiment,14883,14967,OT Cloturé,Moyen,non,True,False,True,False,PPR,PPR01,Equipement lot archi / Menuiserie ,Porte  bois,Non,TMU,1511.12,650.0,0.0,2161.12,1,29.06,132687,288.2,0.55,1,1.0,650.0,MENUISERIE,cloture,14,4,28,2,1,0,1,19.209027777777777,2,1104.48,14.99,385,4123.536727272727,19.209027777777777,488,17924.41973360656,386,1,0.3007699711260828,0.2909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0025974025974025974,347.9875606969437,5852.34503869969,1292,2.0,2.0,1104.48,1104.48,0,1,2,12,74,9,0,,0,197,650.0,29.06,1
batiment,14037,14086,OT En stand by,Moyen,non,False,False,False,False,PPR,PPR01,Equipement lot archi / Menuiserie ,Porte  bois,Non,TMU,0.0,0.0,0.0,0.0,0,0.0,132689,,112.65,0,0.0,0.0,,,19,5,25,1,1,1,0,9.809027777777779,1,0.0,0.0,385,4123.536727272727,0.0,488,17924.41973360656,386,0,0.0,0.2909090909090909,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0025974025974025974,347.9875606969437,5852.34503869969,1292,1.0,1.0,0.0,0.0,0,1,2,12,74,9,3,,0,179,0.0,0.0,0
batiment,13494,13523,OT Cloturé,Moyen,non,False,False,True,False,PPR,PPR01,Equipement plomberie et sanitaire,WC Sanitaire,Non,TMU,1470.04,0.0,0.0,1470.04,1,28.27,132725,36.2,7.083333333333333,1,1.0,2100.0,PLOMBERIE,rejet,2,3,2,1,1,0,0,9.809027777777779,1,1470.04,28.27,310,6085.928677419354,0.0,488,17924.41973360656,386,1,1.4285325569372262,0.5580645161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.012903225806451613,347.9875606969437,5852.34503869969,1292,1.0,1.0,1470.04,1470.04,0,1,2,14,120,9,0,,0,132,2100.0,28.27,1
