portfolio,id_ordre_travail,id_demande,etat,urgence,impact_disponibilite,vandalisme,palliative,avec_demande_pdr,est_reouvert,site,zone,famille,groupe,ot_fils,prestataire,cout_maindoeuvre,cout_pdr,cout_bc,cout_total,nombre_main_doeuvre,duree_intervention_par_heure,id_actif,time_to_closure_hours,time_to_start_hours,num_spare_parts_requests,total_parts_quantity,total_parts_cost,parts_families,parts_request_status,creation_hour,creation_day_of_week,creation_day_of_month,creation_month,creation_quarter,creation_is_weekend,creation_is_business_hours,days_since_last_maintenance,equipment_failure_count,equipment_avg_cost,equipment_avg_duration,famille_failure_count,famille_avg_cost,equipment_age_days,site_failure_count,site_avg_cost,zone_failure_count,has_spare_parts,spare_parts_cost_ratio,famille_spare_parts_usage_rate,anomaly_travaux_de_maintenance,anomaly_dégradation,anomaly_endomagement,anomaly_arrachement,anomaly_endommage,anomaly_dégradtion_du_sol,anomaly_desencastrement,anomaly_serrure_endommagé_,anomaly_chasse_endommagé_,anomaly_flux_lumineux_faible_,anomaly_poigné_endommagé_,anomaly_endommagement_,anomaly_dégradation_,anomaly_brèche_à_la_clôture_,anomaly_déformation,anomaly_habillage_dégradé_,anomaly_dégradation_des_matériaux_,anomaly_sol_defectué,anomaly_dérangement_au_niveau_de_la_centrale_,anomaly_fuite_d'eau,anomaly_recurrence_count,urgence_Faible,urgence_Fort,urgence_Moyen,famille_high_urgency_rate,provider_avg_time_to_closure,provider_avg_cost,provider_work_volume,rolling_7d_failures,rolling_30d_failures,rolling_7d_avg_cost,rolling_30d_avg_cost,portfolio_encoded,site_encoded,zone_encoded,famille_encoded,groupe_encoded,prestataire_encoded,etat_encoded,days_to_next_failure,will_fail_within_30_days,anomaly_type_encoded,spare_parts_cost_target,intervention_duration_target,will_need_spare_parts,iso_anomaly,iso_score,ocsvm_anomaly,ocsvm_score,anomaly_consensus,anomaly_confidence
equipement,15187,15309,OT Rejeté,Faible,non,True,False,False,False,TM2,TM02,Equipement d'instrumentation,Clinomètre,Non,TME,0.0,0.0,0.0,0.0,0,0.0,18,,,0,0.0,0.0,,,12,3,13,3,1,0,1,9.80902777777778,1,0.0,0.0,2,0.0,0.0,104,9151.858653846157,96,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,0.0,,0.0,2,1.0,1.0,0.0,0.0,1,3,6,5,21,8,5,,0,67,0.0,0.0,0,0,-0.35670046805946876,0,1.313764618080306,0,0
equipement,14805,14873,OT Crée,Moyen,non,False,False,False,False,TM2,TM02,Equipement d'instrumentation,Joint-metre,Non,TME,0.0,0.0,0.0,0.0,0,0.0,120,,,0,0.0,0.0,,,8,2,26,2,1,0,1,9.80902777777778,1,0.0,0.0,2,0.0,0.0,104,9151.858653846157,96,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0,,0.0,2,1.0,1.0,0.0,0.0,1,3,6,5,53,8,1,,0,210,0.0,0.0,0,0,-0.35670046805946876,0,1.313764618080306,0,0
equipement,14103,14115,OT Realisé,Moyen,non,False,False,False,False,TM2,TM02,Equipement météorologique et hydrographique,Station météo,Non,TMU,269.76,0.0,0.0,269.76,2,21.65,146,72.46666666666667,3.45,0,0.0,0.0,,,9,2,29,1,1,0,1,9.80902777777778,2,7642.73,11.455,4,17829.37,0.0,104,9151.858653846157,96,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,False,False,True,0.0,347.9875606969437,5852.34503869969,1292,1.0,1.0,269.76,269.76,1,3,6,13,106,9,4,14.150694444444444,1,129,0.0,21.65,0,0,-0.37211796540127556,0,1.8555723257158832,0,0
equipement,14442,14512,OT Cloturé,Moyen,oui,False,False,True,False,TM2,TM02,Equipement météorologique et hydrographique,Station météo,Non,TMU,15.7,15000.0,0.0,15015.7,2,1.26,146,1.9,0.3666666666666666,1,1.0,15000.0,ELECTRONIQUE,cloture,12,2,12,2,1,0,1,14.150694444444444,2,7642.73,11.455,4,17829.37,14.150694444444444,104,9151.858653846157,96,1,0.9989544276990084,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,False,False,True,0.0,347.9875606969437,5852.34503869969,1292,2.0,2.0,7642.73,7642.73,1,3,6,13,106,9,0,,0,129,15000.0,1.26,1,0,-0.5006117600917729,1,-6.364781540814761,1,1
equipement,13742,13772,OT Cloturé,Moyen,non,False,False,True,False,TM2,TM02,Equipement de Protection cathodique,Transformateur protection cathodique,Non,TMU,1744.93,0.0,0.0,1744.93,2,89.76,148,94.6,4.816666666666666,1,20.0,20.0,DIVERS,rejet,12,5,11,1,1,1,1,9.80902777777778,1,1744.93,89.76,12,4402.509166666667,0.0,104,9151.858653846157,96,1,0.0114617778363601,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0,347.9875606969437,5852.34503869969,1292,1.0,1.0,1744.93,1744.93,1,3,6,6,115,9,0,,0,35,20.0,89.76,1,0,-0.3749496444948021,0,2.1759999825810326,0,0
equipement,15308,15430,OT Cloturé,Moyen,non,False,False,False,False,TM1,TM01,Equipement de balisage maritime,Feu de musoir tribord,Non,TMU,2956.9,0.0,0.0,2956.9,1,106.44,181,144.48333333333332,37.96666666666667,0,0.0,0.0,,,22,1,18,3,1,0,0,9.80902777777778,2,2146.42,77.265,5,1290.768,0.0,1119,5713.647426273458,375,0,0.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,False,False,True,0.0,347.9875606969437,5852.34503869969,1292,1.0,1.0,2956.9,2956.9,1,2,5,7,47,9,0,5.158333333333333,1,208,0.0,106.44,0,0,-0.3525936199453846,0,1.7119193614064088,0,0
equipement,15394,15517,OT Cloturé,Moyen,non,False,False,False,False,TM1,TM01,Equipement de balisage maritime,Feu de musoir tribord,Non,TMU,1335.94,0.0,0.0,1335.94,1,48.09,181,59.5,11.333333333333334,0,0.0,0.0,,,1,0,24,3,1,0,0,5.158333333333333,2,2146.42,77.265,5,1290.768,5.158333333333333,1119,5713.647426273458,375,0,0.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,False,False,True,0.0,347.9875606969437,5852.34503869969,1292,2.0,2.0,2146.42,2146.42,1,2,5,7,47,9,0,,0,208,0.0,48.09,0,0,-0.3694010410816673,0,2.0614338596290267,0,0
equipement,14440,14515,OT Cloturé,Moyen,oui,False,False,True,False,PPR,PPR01,Equipement météorologique et hydrographique,Station météo,Non,TMU,16.2,41000.0,0.0,41016.2,2,1.3,186,1.75,0.4,1,1.0,41000.0,ELECTRONIQUE,cloture,12,2,12,2,1,0,1,9.80902777777778,1,41016.2,1.3,4,17829.37,0.0,488,17924.41973360656,386,1,0.9996050341084742,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0,347.9875606969437,5852.34503869969,1292,1.0,1.0,41016.2,41016.2,1,1,2,13,106,9,0,,0,129,41000.0,1.3,1,1,-0.542370859383195,1,-13.50611547014029,1,2
equipement,14441,14514,OT Cloturé,Moyen,oui,False,False,True,False,PPR,PPR01,Equipement météorologique et hydrographique,Station météo,Non,TMU,15.82,15000.0,0.0,15015.82,2,1.27,187,1.7333333333333334,0.3833333333333333,2,2.0,56000.0,ELECTRONIQUE,cloture,12,2,12,2,1,0,1,9.80902777777778,1,15015.82,1.27,4,17829.37,0.0,488,17924.41973360656,386,1,3.729400059404015,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0,347.9875606969437,5852.34503869969,1292,1.0,1.0,15015.82,15015.82,1,1,2,13,106,9,0,,0,129,56000.0,1.27,1,0,-0.4805362847646132,1,-14.008847344522392,1,1
equipement,15514,15640,OT Cloturé,Moyen,non,False,False,False,False,PPR,PPR01,Equipement de balisage maritime,Feu d'extrémité,Non,TMU,10.56,0.0,0.0,10.56,2,0.19,190,87.91666666666667,87.7,0,0.0,0.0,,,19,5,29,3,1,1,0,9.80902777777778,1,10.56,0.19,5,1290.768,0.0,488,17924.41973360656,386,0,0.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0,347.9875606969437,5852.34503869969,1292,1.0,1.0,10.56,10.56,1,1,2,7,45,9,0,,0,43,0.0,0.19,0,0,-0.3377988851623744,0,1.1163207452386281,0,0
