portfolio,id_ordre_travail,id_demande,etat,motif_standby,anomalie,urgence,impact_disponibilite,vandalisme,palliative,avec_demande_pdr,est_reouvert,site,zone,famille,groupe,localisation,actif,demandeur,ot_fils,date_declaration,createur_ot,date_creation_ot,utilisateur_prestataire,date_debut_reparation,responsable_cloture,date_cloture,commentaire_cloture,responsable_reouverture,date_reouverture,commentaire_ouverture,validateur_travaux,date_validation,responsable_rejet,date_rejet,motif_rejet,prestataire,cout_maindoeuvre,cout_pdr,cout_bc,cout_total,description,plateforme_creation,plateforme_prestataire,plateforme_cloture,plateforme_rejet,plateforme_reouverture,plateforme_validation,nombre_main_doeuvre,duree_intervention_par_heure,id_actif,time_to_closure_hours,time_to_start_hours,num_spare_parts_requests,total_parts_quantity,total_parts_cost,parts_articles,parts_families,parts_request_status
infrastructure,13681,13713,OT Cloturé,,Déchets,Moyen,non,False,False,False,False,TM1,ZEXT01,Voies de circulation,Voie de roulement,RN16,Voirie,SUP-TMU- CN,Non,2025-01-09 15:07:00,Soufiane chegdali,2025-01-09 15:53:00,SUP-TMU-BASS-INF- 01,2025-01-09 16:10:00,SUP-TMU-BASS-INF- 01,2025-01-09 16:30:00,Evacuation des déchets (RN16),,,,Chaymae Farah,2025-07-03 16:47:00,,,,TMU,11.31,0.0,0.0,11.31,Evacuation des déchets,MOBILE,WEB,WEB,WEB,WEB,WEB,2,0.32,287,1.3833333333333333,0.2833333333333333,0,0.0,0.0,,,
batiment,13680,13707,OT Realisé,,Flux lumineux faible ,Moyen,non,False,False,True,False,PPR,PPR01,Equipement éclairage,Spot,Ancienne gare maritime,Spot 2,sup-tmu-bat- 05,Non,2025-01-09 12:58:00,Soufiane chegdali,2025-01-09 15:52:00,sup-tmu-bat- 05,2025-01-09 16:27:00,sup-tmu-bat- 05,2025-01-15 13:02:00,Les lampes ont été changées ,,,,,,,,,TMU,7301.32,2500.0,0.0,9801.32,Flux lamineux faible au niveau de couloir et salles douane ancienne gare maritime GATE2,MOBILE,WEB,WEB,WEB,WEB,WEB,1,140.41,128994,144.06666666666666,0.5833333333333334,1,10.0,2500.0,Lampe LED E27 15W  6500K,ELECTRICITE,cloture
batiment,13679,13711,OT Cloturé,,Dégradations des carrelages,Moyen,non,False,False,True,False,TM1,ZEXT01,Equipement lot archi / Menuiserie ,Cloison,VTS,Cloison ,animateur 02,Non,2025-01-09 14:16:00,Soufiane chegdali,2025-01-09 15:52:00,sup-tmu-bat- 05,2025-01-10 09:27:00,sup-tmu-bat- 05,2025-01-10 17:49:00,Le morceau de marbre a été fixé ,,,,Chaymae Farah,2025-03-26 20:50:00,,,,TMU,433.68,600.0,0.0,1033.68,Morceau de marbre mal fixé au niveau de cuisine situé au bâtiment capitainerie,MOBILE,WEB,WEB,WEB,WEB,WEB,1,8.34,161931,27.55,17.583333333333332,1,2.0,600.0,silicone,DIVERS,cloture
batiment,13678,13712,OT En stand by,"PDR Indisponible : -manomètre 
-contacteur 100_125 V
-3 commutateur électrique 
-thermomètre ",Dysfonctionnement,Moyen,non,False,False,False,False,TM1,SAS EXPORT,Equipement climatisation et VMC,Pompe à chaleur,Batiment 4-G,Pompe à chaleur 1,sup-tmu-bat- 05,Oui,2025-01-09 14:59:00,Soufiane chegdali,2025-01-09 15:51:00,sup-tmu-bat- 05,2025-01-09 16:34:00,,,,,,,,,,,,TMU,0.0,0.0,0.0,0.0,Le PAC de bâtiment 4 nécessite une remise en état ,MOBILE,WEB,WEB,WEB,WEB,WEB,0,0.0,1226008,,0.7166666666666667,0,0.0,0.0,,,
batiment,13677,13718,OT Cloturé,,Manque de store,Moyen,non,False,False,False,False,PPR,GATE2,Equipement lot archi / Menuiserie ,Fenêtre ,Plateau & aubettes police,Fenêtre 1,sup-tmu-bat- 05,Non,2025-01-09 15:36:00,Soufiane chegdali,2025-01-09 15:51:00,sup-tmu-bat- 05,2025-01-09 16:26:00,sup-tmu-bat- 05,2025-01-09 16:51:00,Montage de store ,,,,Said Touil,2025-09-06 21:34:00,,,,TMU,20.8,0.0,0.0,20.8,Manque de store aubette de police 5C,MOBILE,WEB,WEB,WEB,WEB,WEB,1,0.4,139775,1.25,0.5833333333333334,0,0.0,0.0,,,
infrastructure,13676,13701,OT Rejeté,,Travaux de maintenance,Moyen,non,False,False,False,False,TM2,ZEXT01,Voies de circulation,Panneaux de signalisation,RN16,CI,SUP-TMU- CN,Non,2025-01-09 11:54:00,Touria Tammor,2025-01-09 14:31:00,,,,,,,,,,,Touria Tammor,2025-01-09 15:03:00,mal du choix  d'actif ,NZALA,0.0,0.0,0.0,0.0,Nettoyage des déchets,MOBILE,WEB,WEB,WEB,WEB,WEB,0,0.0,42140,,,0,0.0,0.0,,,
infrastructure,13675,13709,OT Cloturé,,Désherbage ,Moyen,non,False,False,False,False,TM1,TM01,Espace vert,Espace vert,Voie Principale-TM1 Espace vert,Voie Principale-TM1 Espace vert 1,SUP-TMU- CN,Non,2025-01-09 14:02:00,Touria Tammor,2025-01-09 14:27:00,SUP-TMU-BASS-INF- 01,2025-01-09 14:30:00,SUP-TMU-BASS-INF- 01,2025-01-09 15:01:00,désherbage,,,,Soufiane chegdali,2025-04-11 22:28:00,,,,TMU,236.32,0.0,0.0,236.32,TRAVAUX DESHERBAGE,MOBILE,WEB,WEB,WEB,WEB,WEB,3,0.49,23237,0.9833333333333333,0.05,0,0.0,0.0,,,
infrastructure,13674,13710,OT Cloturé,,Travaux de maintenance,Moyen,non,False,False,False,False,MEDHUB,ZFL01,Terre plein,Parking,ZFL Parking,PARKING-L,SUP-TMU- CN,Non,2025-01-09 14:08:00,Touria Tammor,2025-01-09 14:26:00,SUP-TMU-BASS-INF- 01,2025-01-09 14:30:00,SUP-TMU-BASS-INF- 01,2025-01-09 14:50:00,Evacuation d'une roue délaissée,,,,zakariae lotfi,2025-06-25 09:47:00,,,,TMU,154.33,0.0,0.0,154.33,Evacuation d'une roue délaissée(déchet),MOBILE,WEB,WEB,WEB,WEB,WEB,3,0.32,28051,0.7,0.06666666666666667,0,0.0,0.0,,,
batiment,13673,13700,OT Cloturé,,fuite d'eau,Moyen,non,False,False,True,False,MEDHUB,ZFL01,Equipement plomberie et sanitaire,Lavabo,Secteur 4,Lavabo 2,sup-tmu-bat- 05,Non,2025-01-09 11:46:00,Hamza Elguetioui,2025-01-09 13:11:00,sup-tmu-bat- 05,2025-01-09 13:45:00,sup-tmu-bat- 05,2025-01-13 11:20:00,Le siphon et flexibles de lavabo ont été changés ,,,,zakariae lotfi,2025-06-25 09:47:00,,,,TMU,8127.62,960.0,0.0,9087.619999999999,Fuite d'eau localisé au bloc sanitaire femme MEDHUB en raison d'endommagement d'une flexible et siphon de lavabo ,MOBILE,WEB,WEB,WEB,WEB,WEB,1,93.55,87420,95.56666666666666,0.5666666666666667,3,3.0,960.0,"FLEXIBLE 60CM MEDHUB, Siphon de lavabo MEDHUB",PLOMBERIE,cloture
batiment,13672,13698,OT Cloturé,,Desencastrement,Moyen,non,False,False,False,False,TM1,TMPC01,Equipement éclairage,Interrupteur d'allumage ,Secteur 5,Interrupteur d'allumage 2,sup-tmu-bat- 05,Non,2025-01-09 09:28:00,Hamza Elguetioui,2025-01-09 13:11:00,sup-tmu-bat- 05,2025-01-09 13:45:00,sup-tmu-bat- 05,2025-01-09 14:04:00,Fixation de l'interrupteur ,,,,Hamza Elguetioui,2025-04-04 11:32:00,,,,TMU,15.6,0.0,0.0,15.6,Interrupteur mal fixée,MOBILE,WEB,WEB,WEB,WEB,WEB,1,0.3,85063,4.6,0.5666666666666667,0,0.0,0.0,,,
batiment,13671,13702,OT Rejeté,PDR Indisponible : Fixation de lavabo ,Degradation ,Moyen,non,False,False,False,False,TM1,SAS IMPORT,Equipement plomberie et sanitaire,Lavabo,PNG Sas Import,Lavabo 1,C3 -PRINCIPALE ,Non,2025-01-09 11:54:00,Soufiane chegdali,2025-01-09 12:09:00,sup-tmu-bat- 05,2025-01-20 09:17:00,,,,,,,,,Soufiane chegdali,2026-01-20 10:29:00,Bâtiment non utilisé fermer par service sécurité portuaire C3,TMU,0.0,0.0,0.0,0.0,Lavabo endommagé ,MOBILE,WEB,WEB,WEB,WEB,WEB,0,0.0,163650,,261.1333333333333,0,0.0,0.0,,,
batiment,13670,13704,OT Cloturé,,Serrure endommagé ,Moyen,non,False,True,True,False,TM1,SAS IMPORT,Equipement lot archi / Menuiserie ,Porte  bois,PNG Sas Import,Porte bois 1,C3 -PRINCIPALE ,Non,2025-01-09 11:58:00,Soufiane chegdali,2025-01-09 12:09:00,sup-tmu-bat- 05,2025-01-09 12:51:00,sup-tmu-bat- 05,2025-01-13 15:19:00,"Changement de poignée et réparation de la vachette comme une solution temporaire _x000d_
",,,,Soufiane chegdali,2025-03-19 14:42:00,,,,TMU,5118.88,420.0,0.0,5538.88,serrure et poignet endommagés,MOBILE,WEB,WEB,WEB,WEB,WEB,1,98.44,163779,99.35,0.7,1,1.0,420.0,Serrure porte en bois,MENUISERIE,cloture
batiment,13669,13705,OT Cloturé,,Desencastrement,Moyen,non,False,False,False,False,TM1,SAS EXPORT,Equipement électrique,Prise de courant ,Batiment 3-C,PRC 2,sup-tmu-bat- 05,Non,2025-01-09 12:05:00,Soufiane chegdali,2025-01-09 12:09:00,sup-tmu-bat- 05,2025-01-09 12:12:00,sup-tmu-bat- 05,2025-01-09 12:50:00,Fixation de prise électrique ,,,,Soufiane chegdali,2025-03-19 14:41:00,,,,TMU,32.24,0.0,0.0,32.24,Prise électrique mal fixé,MOBILE,WEB,WEB,WEB,WEB,WEB,1,0.62,1225811,0.75,0.05,0,0.0,0.0,,,
batiment,13668,13696,OT Cloturé,PDR Indisponible : Abattant,L'abattant mal fixer,Moyen,non,False,False,True,False,PPR,PPR01,Equipement plomberie et sanitaire,WC Sanitaire,Sanitaire quai 8,WC Sanitaire 2,Animateur 01,Non,2025-01-09 06:29:00,Animateur 01,2025-01-09 06:29:00,sup-tmu-bat- 05,2025-01-09 09:15:00,sup-tmu-bat- 05,2025-01-17 11:47:00,Changement de l'abattant,,,,Said Touil,2025-08-31 15:42:00,,,,TMU,1186.64,2100.0,0.0,3286.6400000000003,Abattant arraché de la chasse-eau de la toilette hommes au niveau du quai 08.,WEB,WEB,WEB,WEB,WEB,WEB,1,22.82,133920,197.3,2.7666666666666666,1,1.0,2100.0,Abattant toilette anglaise standard et suspendu,PLOMBERIE,cloture
batiment,13667,13695,OT Cloturé,,Manque de store,Moyen,non,False,False,False,False,PPR,GATE3,Equipement lot archi / Menuiserie ,Fenêtre ,Bureau Police Et Douane 1,Fenêtre 2,Animateur 01,Non,2025-01-09 04:36:00,Animateur 01,2025-01-09 04:36:00,sup-tmu-bat- 05,2025-02-07 16:54:00,sup-tmu-bat- 05,2025-02-07 21:38:00,Montage d'un store ,,,,Said Touil,2025-08-02 18:46:00,,,,TMU,244.4,0.0,0.0,244.4,Manque de store de la fenêtre du local des douanes près de la barrières à la zone contrôle des douanes au gate 03.,WEB,WEB,WEB,WEB,WEB,WEB,1,4.7,136934,713.0333333333333,708.3,0,0.0,0.0,,,
batiment,13666,13694,OT Cloturé,,Dégradations de peinture ,Moyen,non,False,False,True,False,PPR,GATE3,Equipement lot archi / Menuiserie ,Cloison,Bureau Police Et Douane 1,Cloison ,Animateur 01,Non,2025-01-09 04:28:00,Animateur 01,2025-01-09 04:28:00,Said Touil,2025-06-18 15:31:00,sup-nzala- 01,2025-08-19 21:13:00,Traité,,,,Said Touil,2025-08-23 13:37:00,,,,NZALA,56013.38,0.0,0.0,56013.38,"Dégradation de peinture du mur au local de la SN à la zone contrôle des douanes au gate 03._x000d_
",WEB,WEB,WEB,WEB,WEB,WEB,1,1493.69,136236,5344.75,3851.05,3,21.0,725.0,"Enduit façade, Peinture vinylique blanc 30KG, Plâtre en poudre","PEINTURE, CONSTRUCTION",cloture
equipement,13665,13693,OT Cloturé,,Luminaire éteint,Moyen,non,False,False,False,False,TM2,TM02,Equipement Electrique,Candélabre,Voie périphérique TM2 ,Candélabre 237 ,animateur 02,Non,2025-01-09 01:55:00,animateur 02,2025-01-09 01:55:00,sup-tmu-eq- 04,2025-01-09 11:57:00,sup-tmu-eq- 04,2025-01-10 09:39:00,changement de disjoncteur,,,,Said Touil,2025-07-20 21:51:00,,,,TMU,21808.5,0.0,0.0,21808.5,Candélabre hors service au niveau de la route périphérique TM2 en face bâtiment safety brigade.,WEB,WEB,WEB,WEB,WEB,WEB,2,21.7,5474,31.733333333333334,10.033333333333333,0,0.0,0.0,,,
batiment,13664,13629,OT Cloturé,,Dégradation de trappe ou bien de plaque,Moyen,non,False,False,False,False,MEDHUB,ZFL01,Equipement lot archi / Menuiserie ,Plafond,Entrepôt 130,Plafond ,sup-tmu-bat- 05,Non,2025-01-06 13:15:00,zakariae lotfi,2025-01-08 19:15:00,sup-tmu-bat-eq- 08,2025-01-08 21:14:00,sup-tmu-bat- 05,2025-01-09 09:20:00,Fixation des plaques plafonniers ,,,,zakariae lotfi,2025-06-25 09:47:00,,,,TMU,1047.77,0.0,0.0,1047.77,Les trappes des plafonniers sont mal posées,MOBILE,WEB,WEB,WEB,WEB,WEB,1,12.06,120308,68.08333333333333,1.9833333333333334,0,0.0,0.0,,,
batiment,13663,13679,OT Cloturé,,Fissure,Moyen,non,False,False,False,False,MEDHUB,ZFL02,Element de structure ,Dalle,Entrepôt 72,Dalle ,sup-tmu-bat- 05,Non,2025-01-08 09:37:00,zakariae lotfi,2025-01-08 19:15:00,sup-tmu-bat-eq- 08,2025-01-08 21:14:00,sup-tmu-bat- 05,2025-01-09 15:18:00,Traitement de l'état de la peinture des dallages de locale sprinkler lot 72 MEDHUB,,,,zakariae lotfi,2025-06-25 09:47:00,,,,TMU,3132.89,0.0,0.0,3132.89,Nous constatons que le dallage de la zone des sprinklers au Lot 92 MEDHUB nécessite une remise en état de la peinture ,MOBILE,WEB,WEB,WEB,WEB,WEB,2,18.03,1241869,29.683333333333334,1.9833333333333334,0,0.0,0.0,,,
