article,total_demand,avg_demand_per_request,demand_std,current_stock,famille,total_cost,daily_demand,reorder_point,needs_reorder,suggested_order_qty
Huile moteur réf : (15W40 TOTAL),35.0,35.0,0.0,10,HYDRAULIQUE,3675.0,0.03653444676409186,0.255741127348643,False,0.0
Spot LED GU10 7W 6500K MEDHUB,64.0,2.909090909090909,3.115385643163252,18,ELECTRICITE,12480.0,0.06680584551148225,5.140719383325253,False,0.0
Flexible gasoil bague 3/8 *3/8 F/F (3m),2.0,2.0,0.0,6,HYDRAULIQUE,2300.0,0.0020876826722338203,0.014613778705636741,False,0.0
Douille E27,163.0,3.326530612244898,2.6171529943658935,75,ELECTRICITE,8965.0,0.17014613778705637,5.116752456058235,False,0.0
ABATTANT TOILETTE ANGLAISE MEDHUB,29.0,2.6363636363636362,4.272533844751315,12,PLOMBERIE,60900.0,0.030271398747390398,6.620700558358705,False,1.0
Spot &tanche ronde 10W LED IP54,28.0,3.111111111111111,2.260776661041756,57,ELECTRICITE,1400.0,0.029227557411273485,3.595757893441548,False,0.0
Split systéme mural 9000 BTU/h,4.0,1.0,0.0,9,CLIMATISATION,13300.0,0.0041753653444676405,0.029227557411273482,False,0.0
Cable porte sectionnelle,32.0,10.666666666666666,0.5773502691896258,276,MECANIQUE,384.0,0.033402922755741124,1.0998458630746266,False,0.0
Flexible sanitaire Ø 12mm Femelle Femelle 1/2 3/8,17.0,1.1333333333333333,0.3518657752744984,13,PLOMBERIE,374.0,0.017745302713987474,0.6520157819096599,False,0.0
Douille B22,67.0,16.75,22.47035083541569,49,ELECTRICITE,201.0,0.06993736951983298,34.195087839762365,False,19.0
Ballast 150W,2.0,1.0,0.0,9,ELECTRICITE,900.0,0.0020876826722338203,0.014613778705636741,False,0.0
Cadenas,220.0,10.476190476190476,12.568289651416567,42,MENUISERIE,2200.0,0.22964509394572025,20.459950134744894,False,0.0
Douille GU10,328.0,7.627906976744186,6.035700361042081,34,ELECTRICITE,27880.0,0.34237995824634654,11.450210249287547,False,0.0
Douille GU10	,24.0,6.0,6.2182527020592095,59,ELECTRICITE,2040.0,0.025052192066805846,9.502744397556455,False,0.0
Ferme porte avec bras MEDHUB,3.0,1.5,0.7071067811865476,2,MENUISERIE,60.0,0.003131524008350731,1.0825808398382766,False,0.0
Huile hydraulique 68 MEDHUB,5.0,5.0,0.0,45,HYDRAULIQUE,25.0,0.005219206680584551,0.03653444676409186,False,0.0
Drapeau Maroc	,1.0,1.0,0.0,30,DIVERS,1200.0,0.0010438413361169101,0.0073068893528183704,False,0.0
Drapeau Maroc,132.0,2.0307692307692307,3.517675150086838,10,DIVERS,158400.0,0.13778705636743216,6.241022119702283,False,2.0
Boîtier de commande « Inekma » du quai niveleur RH11,1.0,1.0,0.0,1,ELECTRICITE,7000.0,0.0010438413361169101,0.0073068893528183704,False,0.0
T 40 PVC HP,25.0,6.25,4.9916597106239795,10,PLOMBERIE,1200.0,0.026096033402922755,7.670161799756428,False,5.0
Boîtier de commande « Inekma » du quai niveleur télescopique RH21 ,2.0,1.0,0.0,2,ELECTROMECANIQUE,15600.0,0.0020876826722338203,0.014613778705636741,False,0.0
T 110 PVC HP,45.0,11.25,4.5,44,PLOMBERIE,3600.0,0.04697286012526096,7.078810020876826,False,0.0
Vérins télescopiques standards simple effet,7.0,2.3333333333333335,0.5773502691896258,4,HYDRAULIQUE,83300.0,0.007306889352818371,0.9171736292541675,False,0.0
White spirit 5L,446.0,2.3850267379679146,2.7260965780846202,50,PEINTURE,6690.0,0.46555323590814196,7.348017518483925,False,0.0
Y pvc Ø75,11.0,1.375,0.7440238091428449,30,PLOMBERIE,143.0,0.011482254697286013,1.1964114965952695,False,0.0
Flexible gasoil 3/8 F/F 50cm,2.0,1.0,0.0,2,HYDRAULIQUE,106.0,0.0020876826722338203,0.014613778705636741,False,0.0
T  75 PEHD HP,1.0,1.0,0.0,19,PLOMBERIE,10.0,0.0010438413361169101,0.0073068893528183704,False,0.0
Brique rouge,515.0,257.5,222.73863607376248,1920,CONSTRUCTION,515.0,0.5375782881002088,337.8710021273452,False,0.0
Brosse métallique pour brossage bordure,1.0,1.0,0.0,3,DIVERS,15.0,0.0010438413361169101,0.0073068893528183704,False,0.0
Huile hydraulique 46,5.0,5.0,0.0,95,HYDRAULIQUE,25.0,0.005219206680584551,0.03653444676409186,False,0.0
Abattant  sanitaire suspendu,3.0,1.0,0.0,7,PLOMBERIE,0.0,0.003131524008350731,0.021920668058455117,False,0.0
ATS sans coupure,17.0,1.2142857142857142,0.42581531362631997,1,ELECTRICITE,127823.0,0.017745302713987474,0.7629400894373922,False,1.0
Support de prise double 45*45,2.0,2.0,0.0,4,ELECTRICITE,36.0,0.0020876826722338203,0.014613778705636741,False,0.0
Barrette 100PCS 4mm²   ,34.0,1.619047619047619,0.9734572654303052,17,ELECTRICITE,2380.0,0.03549060542797495,1.7086201361412825,False,0.0
Baguette de brasure de l'acier,6.0,6.0,0.0,25,MECANIQUE,90.0,0.006263048016701462,0.04384133611691023,False,0.0
lampe LED B22,59.0,2.4583333333333335,4.393465173628221,43,ELECTRICITE,590.0,0.061586638830897704,7.021304232258615,False,0.0
Bobine d'électrovanne 230V électrique d'électrovanne,8.0,2.0,1.1547005383792515,7,ELECTROMECANIQUE,3920.0,0.008350730688935281,1.7905059223914241,False,0.0
"Ventouses électromagné tiques de maintien des portillons ""EM 500 G , avec embase""",6.0,2.0,0.0,2,ELECTROMECANIQUE,10200.0,0.006263048016701462,0.04384133611691023,False,0.0
Interrupteur bouton poussoir,10.0,10.0,0.0,20,ELECTRICITE,40.0,0.010438413361169102,0.07306889352818371,False,0.0
Té retube femelle Ø16*1/2,26.0,1.7333333333333334,1.4375905768565216,5,PLOMBERIE,650.0,0.027139874739039668,2.3463649884580597,False,0.0
Armaflex bande d'isolation autoadhésif,1.0,1.0,0.0,9,CLIMATISATION,260.0,0.0010438413361169101,0.0073068893528183704,False,0.0
Armaflex ACE Tapis d'isolation autoadhésif,4.0,2.0,0.0,6,CLIMATISATION,1740.0,0.0041753653444676405,0.029227557411273482,False,0.0
Fourniture de conduite en PVC Ø75MM,18.0,9.0,4.242640687119285,132,PLOMBERIE,540.0,0.018789144050104383,6.495485039029658,False,0.0
Filtre hydraulique de retour HF 7906,3.0,1.0,0.0,1,HYDRAULIQUE,2490.0,0.003131524008350731,0.021920668058455117,False,0.0
ECROUS Ø8,510.0,42.5,57.56972057664278,214,DIVERS,306.0,0.5323590814196242,90.08109443490153,False,0.0
