article,total_cost,total_quantity,request_count,cumulative_cost,cumulative_pct
Réglette LED doubel lampeé (équipée) bipolaier 2x18w 120 cm,48750.0,250.0,1,8307652.0,62.11835906577877
Flexes control - FX18 NF avec face avant et batterie ESSER,46506.8,1.0,1,8354158.8,62.466101857773474
Poignée fenêtre aluminium,46080.0,128.0,25,8400238.8,62.81065336110452
Peinture cloture 5 KG,46020.0,236.0,84,8446258.8,63.15475622966559
Cornière en acier galvanisé de forme L y compris les accessoires de fixation,45000.0,150.0,1,8491258.8,63.4912323071373
Galets pour le quai de déchargement RENAULT AU PORT TANGER MED,45000.0,4.0,1,8536258.8,63.82770838460902
Starter S2 PHILPS,44700.0,596.0,70,8580958.8,64.16194128823092
Ruban de téflon,44200.0,130.0,115,8625158.8,64.4924355687698
Boite bouton palier ascenseur Schindler,43000.0,4.0,4,8668158.8,64.81395715390944
DISJONCTEUR DIFFERENTIEL-4P-63A-30mA TYPE A,42630.0,28.0,2,8710788.8,65.13271215796765
Starter S10 PHILPS,42150.0,562.0,25,8752938.8,65.44787808386616
Cylindre de serrure standard MEDHUB,41100.0,137.0,60,8794038.8,65.75519290129031
Peinture laque 5 KG noir,40800.0,230.0,23,8834838.8,66.06026454486468
Pointes lumineuses à LED pour éclairage extérieure,40500.0,45.0,3,8875338.8,66.36309301458921
Verrou porte manuel,39600.0,88.0,41,8914938.8,66.65919196276433
Distributeur savon liquide plastique,39600.0,66.0,31,8954538.8,66.95529091093944
Coffret bypass externe pour 1 onduleurs 40KVA,39200.0,4.0,4,8993738.8,67.24839896064813
Panel LED 60/60 apparent,38772.0,108.0,27,9032510.8,67.53830674899775
"Câble capotin 3G1,5",37800.0,504.0,10,9070310.8,67.82094665407399
"Câble capotin 3G1,5 MEDHUB",37500.0,500.0,3,9107810.8,68.10134338530042
Cable cuivre U1000 R2V 5g16mm2,37500.0,300.0,1,9145310.8,68.38174011652686
"Batterie plomb-étanche (sans entretien) 12V-7,6Ah/C20 avec leurs connectiques MEDHUB",36736.0,224.0,6,9182046.8,68.65642423168244
Boite à bouton Palier d'ascenseur OTIS,36105.0,27.0,5,9218151.8,68.92639020450724
Capteur numérique de marque PRECIA CDL de 30 Tonnes,36000.0,8.0,1,9254151.8,69.1955710664846
Fourniture de carte de charge batteries ARO.,36000.0,2.0,2,9290151.8,69.46475192846198
Thermostat mural de climatiseur PAC AIR/EAU,35000.0,20.0,19,9325151.8,69.7264555442733
Panneaux en fibre de ciment,34440.0,82.0,1,9359591.8,69.98397190223167
Fourniture d'un câble d'alimentation basse tension 5G10mm,34000.0,200.0,1,9393591.8,70.23819827187697
Poignée aluminium (Pair) MEDHUB,33150.0,51.0,12,9426741.8,70.48606898228113
Groupe hydraulique de QUAI NIVELEUR RH11 ,33000.0,2.0,2,9459741.8,70.73281810576037
Batterie plomb-étanche (sans entretien) 12V-118Ah/C10 avec leurs connectiques,32706.0,9.0,6,9492447.8,70.97736891886683
Boit a bouton cabinet d'ascenseur OTIS,31600.0,7.0,5,9524047.8,71.21364989771362
SÈCHE-MAINS AUTOMATIQUE JOFEL FUTURA AA16000,31449.0,11.0,10,9555496.8,71.44880181238936
silicone MEDHUB,31200.0,104.0,18,9586696.8,71.68209189276975
Vantail vitre de l'ascenseur OTIS,31000.0,103.0,4,9617696.8,71.91388652391693
Enduit façade,30108.0,2509.0,96,9647804.8,72.13901145148401
capteur météorologique pour la mesure de la direction et de la vitesse du vent ,30000.0,2.0,2,9677804.8,72.36332883646514
Courniére de fixation de clôture ponctuelle,29760.0,1488.0,2,9707564.8,72.58585168236644
Distributeur serviette zigzag INOX,29600.0,16.0,12,9737164.8,72.80717816888117
Carte électronique N°4 de commande PAC,29580.0,2.0,2,9766744.8,73.02835511047257
porte papier hygiène 300M en inox JOFEL,28764.0,36.0,24,9795508.8,73.2434306191925
cable capotain 3G2.5 mm,28500.0,380.0,8,9824008.8,73.45653213492457
Détecteur optique de fumée adressable TFDA-S1 (Marque Techno Fire),28350.0,81.0,17,9852358.8,73.66851206373177
Douille GU10,27880.0,328.0,43,9880238.8,73.8769776868409
Horloge astronomique,27650.0,79.0,15,9907888.8,74.08372354333186
Peinture trottoir blanc 25KG,27000.0,27.0,11,9934888.8,74.28560918981488
Kit douchette WC avec accessoires,26640.0,74.0,33,9961528.8,74.48480302767814
Détecteur de fumée optique interactif IQ8Quad O (avec socle),25800.0,43.0,12,9987328.8,74.67771597876192
Peinture laque 5 KG rouge,25330.0,149.0,27,10012658.8,74.86711462414767
Siphon de lavabo,25280.0,158.0,97,10037938.8,75.0561394072251
Compresseur DANFOSS SZ120S4VC,25272.0,1.0,1,10063210.8,75.24510437233323
"Câble U1000R2V 5G2,5",25160.0,1258.0,8,10088370.8,75.43323188587074
Carte électronique NRCP2-BASE contrôle board,25000.0,1.0,1,10113370.8,75.62016304002171
Kit de deux butoirs en acier,25000.0,5.0,5,10138370.8,75.80709419417265
Fourniture d'opérateur de porte cabine OTIS.,25000.0,1.0,1,10163370.8,75.9940253483236
Peinture hempel 20 L,24426.0,6.0,3,10187796.8,76.17666456317525
Cheville Embase,24000.0,400.0,12,10211796.8,76.35611847116016
pompe de circulation d'eau secondaire,24000.0,2.0,1,10235796.8,76.53557237914508
Split systéme mural 12000 BTU/h,23940.0,6.0,4,10259736.8,76.71457765236002
huile hydraulique 32 ,23700.0,600.0,2,10283436.8,76.89178838649514
"Boite d alimentation ESSER NETZTEIL MODULE IQ8C IQM 802426 POWER CARD 8000M""",23500.0,1.0,1,10306936.8,77.06750367139703
Panneau sandwich pour porte sectionnelle,23200.0,8.0,4,10330136.8,77.24097578244911
Fil barbelé type concertina,23000.0,100.0,1,10353136.8,77.41295244426799
"Fourniture d'un moteur de marque FORCE 70AC3 ""220V-50HZ"" (FRS:MEDINDUSTRY)",22581.0,3.0,3,10375717.8,77.5817961399433
Projecteur CAPLED FL150W,22000.0,20.0,1,10397717.8,77.74629555559613
Roue de portail - Forte charge 300KG,21700.0,62.0,35,10419417.8,77.90855179739916
Serrure porte en aluminium,21600.0,48.0,16,10441017.8,78.07006031458559
Fourniture des étriers de protection pour fontaine,21560.0,11.0,3,10462577.8,78.23126974192537
Paumelle aluminium,21504.0,168.0,47,10484081.8,78.39206044347985
Drapeau TMPA,21500.0,43.0,12,10505581.8,78.55282123604967
Tube gorge Gris D20,21480.0,1074.0,17,10527061.8,78.71343248369617
"Câble capotin 5G2,5",21350.0,427.0,11,10548411.8,78.87307168934107
CÂBLE D'ALIMENTATION BASSE TENSION 5G6mm2,21240.0,300.0,2,10569651.8,79.03188839790774
câble électrique basse tension type U1000R02V 4G4mm2,21025.0,841.0,2,10590676.8,79.18909749854868
Coffret bypass externe pour 1 onduleurs 60KVA,21000.0,2.0,2,10611676.8,79.34611966803548
TOILETTE ANGLAISE COMPLÈTE MEDHUB,21000.0,7.0,4,10632676.8,79.50314183752228
Filtre à sac de CTA,20880.0,8.0,2,10653556.8,79.65926673746915
réglette LED 120cm étanche,20535.0,111.0,10,10674091.8,79.81281198748876
Déclencheur Manuel Addressable - Marque :ESSER,20500.0,41.0,8,10694591.8,79.96609553389253
Huile hydraulique D10,20500.0,301.0,5,10715091.8,80.11937908029631
Gaz frigorifique R22,19800.0,12.0,12,10734891.8,80.26742855438387
Panel LED encastrable de 60/60CM,19740.0,84.0,16,10754631.8,80.41502939370146
Boîtier de commande CASIT « KEQ405/BP » pour moteur portai,19200.0,4.0,4,10773831.8,80.55859252008939
