,Corrective,Preventive,Ratio (Corr/Prev)
total_interventions,2035.0,9149.0,0.22242868073013444
avg_duration_hours,75.79724815724816,377.4660854715784,0.2008054526608732
median_duration_hours,2.49,242.2599763888889,0.01027821449137317
avg_cost,8827.384181818183,44863.79962509563,0.19675962035280614
total_cost,17963726.810000002,410458902.7699999,0.043764982776036784
unique_equipment,1578.0,5795.0,0.2723037100949094
